ParticipantID,Name,Age,Gender,College,State,Event,Day,Time,Score,Registration,Satisfaction,Feedback,TotalUsers
P227,Jamie Verma,20,Male,College D,Maharashtra,Group Dance,Day 2,17:14,72,On-site,1,Loved the performance!,3390
P228,Vikram Sharma,21,Non-binary,College D,Rajasthan,Group Dance,Day 5,15:01,85,Online,1,Well organized and fun.,2959
P229,Arjun Davis,18,Non-binary,College A,Madhya Pradesh,Solo Dance,Day 4,17:26,98,Online,1,Well organized and fun.,2750
P230,Casey Sharma,22,Female,College E,Maharashtra,Poetry,Day 4,13:33,79,Online,1,Could be better organized.,3253
P231,Vikram Miller,21,Non-binary,College B,Tamil Nadu,Drama,Day 2,12:25,81,Online,2,Incredible talent showcased.,3450
P232,Sam Reddy,20,Non-binary,College B,Karnataka,Solo Dance,Day 5,14:04,62,Online,2,Well organized and fun.,3294
P233,Taylor Shah,18,Female,College A,Rajasthan,Poetry,Day 3,12:55,81,On-site,1,Needs improvement in planning.,3288
P234,Jordan Johnson,21,Female,College C,Telangana,Singing,Day 4,12:34,84,Online,1,The event was too long.,3372
P235,Anjali Wilson,18,Non-binary,College E,Telangana,Debate,Day 2,12:27,66,On-site,2,Had a great time with friends.,2707
P236,Drew Nair,22,Female,College C,Gujarat,Photography,Day 2,11:51,65,Online,5,Well organized and fun.,3043
P237,Cameron Singh,20,Female,College E,Uttar Pradesh,Quiz,Day 2,15:03,60,Online,4,The event was too long.,3428
P238,Jamie Williams,25,Non-binary,College B,Delhi,Debate,Day 5,16:18,85,Online,5,Disappointing experience.,2694
P239,Casey Patel,21,Female,College C,Kerala,Photography,Day 4,11:44,74,On-site,2,Incredible talent showcased.,3124
P240,Taylor Wilson,24,Female,College C,Rajasthan,Solo Dance,Day 4,16:14,78,On-site,3,Incredible talent showcased.,3217
P241,Vikram Johnson,25,Non-binary,College E,Maharashtra,Solo Dance,Day 2,13:35,60,On-site,3,Needs improvement in planning.,2967
P242,Riley Gupta,25,Non-binary,College A,Madhya Pradesh,Singing,Day 3,12:59,61,Online,4,Incredible talent showcased.,3381
P243,Karthik Wilson,23,Female,College D,Madhya Pradesh,Debate,Day 4,15:09,93,Online,4,Loved the performance!,2800
P244,Anjali Johnson,19,Female,College A,Uttar Pradesh,Quiz,Day 4,17:34,86,On-site,5,Needs improvement in planning.,3009
P245,Anjali Shah,23,Non-binary,College E,Karnataka,Fashion Show,Day 5,17:28,77,On-site,2,"Amazing event, really enjoyed it!",2680
P246,Casey Kumar,21,Non-binary,College E,West Bengal,Solo Dance,Day 2,15:24,78,Online,1,Incredible talent showcased.,3210
P247,Drew Garcia,18,Male,College E,Uttar Pradesh,Debate,Day 5,17:02,83,On-site,4,Not up to the mark.,2749
P248,Vikram Patel,21,Non-binary,College D,Rajasthan,Poetry,Day 2,12:28,71,Online,5,Not up to the mark.,2967
P249,Cameron Rodriguez,20,Male,College A,Delhi,Debate,Day 5,10:41,75,Online,3,The event was too long.,3044
P250,Alex Smith,19,Non-binary,College B,Punjab,Quiz,Day 1,18:00,63,On-site,5,Had a great time with friends.,2969
